,Price,Close,High,Low,Open,Volume,Stock Name
0,Ticker,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,MOTHERSON.NS,Motherson
1,Date,,,,,,Motherson
2,2022-01-03,90.29716491699219,90.51803758837588,89.25303616315185,89.67470828893217,10946036,Motherson
3,2022-01-04,90.27708435058594,91.44169726433306,89.8353390071989,90.61844118072153,9662815,Motherson
4,2022-01-05,89.9959716796875,92.68661244088821,89.47390359530827,90.71883173064734,18545657,Motherson
5,2022-01-06,93.50987243652344,93.97169846485812,88.75104730413406,89.55422268053968,25203833,Motherson
6,2022-01-07,95.93948364257812,96.94345851600725,93.3492386365708,94.29297142908601,34969236,Motherson
7,2022-01-10,96.38123321533203,98.65020947458304,95.93948039841045,96.78281717027727,19399782,Motherson
8,2022-01-11,100.97941589355469,101.48140329120722,96.24067160608497,96.78281291183019,45509599,Motherson
9,2022-01-12,97.76670837402344,101.9833846303773,97.22456706074242,101.9833846303773,31984878,Motherson
10,2022-01-13,94.29296875,99.39314331861344,93.28900138115465,98.26869926742197,48628910,Motherson
11,2022-01-14,121.21385955810547,132.1561022014697,119.31938159341449,127.35457401849601,67160157,Motherson
12,2022-01-17,123.82694244384766,125.9173978991413,123.14100660778927,123.9575940407889,20908546,Motherson
13,2022-01-18,119.94000244140625,125.00282678671243,119.22140367726419,125.00282678671243,13880427,Motherson
14,2022-01-19,120.5279312133789,120.95255635809286,116.08570985676393,120.13596896625387,8119854,Motherson
15,2022-01-20,121.24652862548828,122.4877412253996,119.7766757307835,120.85457383441374,8769453,Motherson
16,2022-01-21,118.82942962646484,122.55305972847718,117.58822457649939,121.08320692127094,11105172,Motherson
17,2022-01-24,117.39225006103516,121.47517213324129,114.77917335589206,119.22139478336554,20719893,Motherson
18,2022-01-25,115.04048919677734,117.55556984477947,114.02792435766037,117.19627047333388,8491330,Motherson
19,2022-01-27,113.7666015625,114.97515114638175,111.15353249419282,114.97515114638175,8517331,Motherson
20,2022-01-28,115.4651107788086,118.5354681003156,114.35454979940664,114.45254597116143,6228226,Motherson
21,2022-01-31,117.26158905029297,119.35205187499402,117.0002858697416,117.55556260447128,6092488,Motherson
22,2022-02-01,118.24149322509766,118.89476614127521,115.07314724305178,118.86210324307216,9202164,Motherson
23,2022-02-02,120.07064056396484,120.85456504119344,118.89476132417981,118.89476132417981,5138463,Motherson
24,2022-02-03,118.99275970458984,120.62592710974002,118.7314490322154,120.2013019396681,3380209,Motherson
25,2022-02-04,118.40481567382812,120.1686346121429,117.55556536497757,119.54803206770205,3471211,Motherson
26,2022-02-07,118.14350128173828,119.45003960210758,116.60832268023479,118.40481193623533,4622776,Motherson
27,2022-02-08,116.2490234375,120.36461578610769,115.33444736003162,118.69877811784102,9822837,Motherson
28,2022-02-09,117.09828186035156,117.45758123206029,115.39978117668012,116.93496736232873,3608242,Motherson
29,2022-02-10,117.81686401367188,118.56812559857805,116.05304514329472,117.68621242536052,4607454,Motherson
30,2022-02-11,112.46007537841797,118.4048202963989,111.08821864263471,116.90230448611274,19232356,Motherson
31,2022-02-14,109.81433868408203,114.15857144102017,108.5731335969901,108.67112229185659,13872945,Motherson
32,2022-02-15,111.80680847167969,112.13344493964684,107.59323466758964,109.74901591842098,14098522,Motherson
33,2022-02-16,110.40228271484375,113.01535953809844,109.78168014664561,113.01535953809844,5916133,Motherson
34,2022-02-17,108.80177307128906,111.80680454773612,108.47513661478547,111.05555041665343,6973185,Motherson
35,2022-02-18,103.47764587402344,108.50780729419004,102.82438039022712,108.44248149341628,34890028,Motherson
36,2022-02-21,102.43241119384766,104.19623759989005,100.30929290780699,103.21633570232387,15149253,Motherson
37,2022-02-22,102.17109680175781,102.95502128161056,97.01028431691063,97.9901861786976,12175230,Motherson
38,2022-02-23,101.90979766845703,104.03291596119715,101.41984671812791,103.21633602802075,7739341,Motherson
39,2022-02-24,94.42988586425781,98.48014523347847,93.71128711910404,97.36959169212284,26708278,Motherson
