Price,Close,High,Low,Open,Volume,Stock Name
Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,
Date,,,,,,
2022-05-18,556.13427734375,570.0153008086792,553.7885472703587,565.8800002675281,1075864,Cdsl
2022-05-19,548.0088500976562,552.3617731269434,533.1847170843022,537.827823174149,935700,Cdsl
2022-05-20,550.1610717773438,561.4061222554301,546.5819901397006,560.0760625214629,654616,Cdsl
2022-05-23,548.903564453125,556.2067896218402,542.5434489202602,556.1825831018265,844124,Cdsl
2022-05-24,531.9755249023438,551.0800187356234,529.6539425419297,547.4525831976589,799732,Cdsl
2022-05-25,509.3645324707031,537.295787342533,507.84099766963527,533.9827412134139,826570,Cdsl
2022-05-26,508.71160888671875,518.481478807838,490.9129673413765,510.25929117748984,998848,Cdsl
2022-05-27,523.414794921875,528.6383262447123,513.4273019556199,517.9978475828791,880708,Cdsl
2022-05-30,543.1722412109375,545.5663251386463,529.8716437452347,533.1121293298519,781898,Cdsl
2022-05-31,608.1759033203125,627.4497273933151,543.1964441482861,545.4212597798122,7820108,Cdsl
2022-06-01,576.5446166992188,619.4692697222675,574.5857779310647,611.2470826643315,2927858,Cdsl
2022-06-02,578.3825073242188,593.9321265162325,566.363615757743,576.4720815105811,2065818,Cdsl
2022-06-03,578.7452392578125,599.6876574679059,571.6596366691131,584.5974901422971,2093400,Cdsl
2022-06-06,566.5087280273438,578.7452419258046,564.1629391265411,577.8262797733585,802570,Cdsl
2022-06-07,557.3676147460938,568.2982761646915,550.9349383018983,562.9296829808972,901198,Cdsl
2022-06-08,549.1454467773438,564.2355566569454,546.5336810950247,562.5427532199254,725436,Cdsl
2022-06-09,544.236328125,557.6578416601866,539.2788321345257,545.5663880248834,1316054,Cdsl
2022-06-10,537.1265258789062,543.5591431764391,534.4421998112474,537.3441484075076,760780,Cdsl
2022-06-13,527.42919921875,536.8605329049175,520.4161562213434,525.7363957366174,1054940,Cdsl
2022-06-14,540.729736328125,544.3088179473001,522.3507291899598,524.2853615202929,1087426,Cdsl
2022-06-15,549.411376953125,553.4499691871232,544.5990026330093,551.2735078089273,757484,Cdsl
2022-06-16,535.6513061523438,557.1982965306154,532.1205786672322,554.2721416258112,913490,Cdsl
2022-06-17,534.6356201171875,544.3087811142768,526.0990437291982,535.8931192387513,973316,Cdsl
2022-06-20,523.1488647460938,540.5847061290269,515.9423462965348,536.2076351702854,961624,Cdsl
2022-06-21,531.9271850585938,540.9232136240848,527.235666213803,530.5729188055979,1042328,Cdsl
2022-06-22,521.9395751953125,531.540175288508,519.9565890791816,529.5329826547479,517946,Cdsl
2022-06-23,521.891357421875,529.2912917926318,518.1188001848052,525.2527579936509,586776,Cdsl
2022-06-24,539.4964599609375,548.9520004123546,525.8331172193965,527.1873836559176,1076218,Cdsl
2022-06-27,538.9644165039062,550.8866010206211,538.3114898471916,547.5009941662363,651186,Cdsl
2022-06-28,536.9088134765625,541.0682610842755,533.402292457453,537.8035691009666,317080,Cdsl
2022-06-29,534.1036987304688,539.3997316592211,529.6540084923328,532.9912614108599,421960,Cdsl
2022-06-30,538.9885864257812,545.9774221987753,533.9585304899189,534.4421885791307,550676,Cdsl
2022-07-01,533.7166748046875,540.5845957125644,530.0892393166629,537.5375853267983,417270,Cdsl
2022-07-04,536.2801513671875,540.5846614374241,533.7650936988657,533.7650936988657,332400,Cdsl
2022-07-05,528.85595703125,542.350030625456,527.1873601039214,537.8278389317069,707004,Cdsl
2022-07-06,528.6866455078125,531.4918860413503,523.922625137149,528.783412549831,505438,Cdsl
2022-07-07,540.8990478515625,543.6317280434705,532.5559452637068,535.167710925356,1050240,Cdsl
2022-07-08,538.6741943359375,547.4042464214276,535.7964523347273,544.1153478140783,609916,Cdsl
2022-07-11,537.6826782226562,539.4480420696749,532.555914246339,536.3768249880368,383218,Cdsl
2022-07-12,544.6231689453125,555.0701709813208,534.4179368931833,535.8447635599491,1127782,Cdsl
2022-07-13,538.04541015625,550.9832638606059,536.860471470473,546.5578396388272,802152,Cdsl
2022-07-14,530.7905883789062,540.7055799920987,530.0893077101903,538.3598498819154,476502,Cdsl
2022-07-15,529.77490234375,534.8533125309906,524.5755776282417,533.8134357798295,357176,Cdsl
