Price,Close,High,Low,Open,Volume,Stock Name
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2022-01-03,3528.559814453125,3539.881890997438,3461.320543547103,3465.9417992794756,2346158,Tcs
2022-01-04,3590.484619140625,3594.551233901151,3522.96802817728,3540.8986356967403,2488606,Tcs
2022-01-05,3568.4873046875,3576.8518224249456,3523.6148678322807,3572.230566840417,1733031,Tcs
2022-01-06,3519.039794921875,3544.5029577793075,3486.2751386554232,3523.2451825436037,1810293,Tcs
2022-01-07,3561.601318359375,3572.1376897663213,3508.826494668977,3530.638909078192,2460591,Tcs
2022-01-10,3585.9560546875,3676.671218345284,3568.5338295704228,3676.671218345284,3937092,Tcs
2022-01-11,3619.2744140625,3627.6851884525768,3563.9118692160855,3563.9118692160855,1906106,Tcs
2022-01-12,3567.5166015625,3631.3824405208043,3545.935474546625,3627.6854362545578,3203744,Tcs
2022-01-13,3602.638671875,3625.8374673160715,3564.8368879526097,3621.216211303688,6684507,Tcs
2022-01-14,3667.567138671875,3675.746851670854,3567.6557239808667,3584.1074397061793,3348123,Tcs
2022-01-17,3714.703857421875,3736.7473372413,3662.160315807462,3690.2574600408047,3442604,Tcs
2022-01-18,3688.31640625,3735.5455004880682,3678.5192546596013,3728.382554703241,2389041,Tcs
2022-01-19,3624.477294921875,3714.6113368964216,3620.635003223693,3714.6113368964216,3102539,Tcs
2022-01-20,3542.90771484375,3629.430705196379,3528.5103105876024,3620.1719533974087,6176776,Tcs
2022-01-21,3549.34228515625,3566.054376340494,3491.5677678800553,3524.806594388899,3112358,Tcs
2022-01-24,3491.799560546875,3564.2954085904257,3462.865960260096,3555.3608032393695,3258414,Tcs
2022-01-25,3490.456787109375,3527.0288571012347,3446.292585770993,3490.086527451007,3330501,Tcs
2022-01-27,3378.750244140625,3456.6625557357074,3356.390447349526,3454.4405455610527,5718297,Tcs
2022-01-28,3416.525634765625,3453.3291718951723,3375.740789291304,3375.740789291304,3143862,Tcs
2022-01-31,3459.30078125,3479.4385643191704,3445.5514458404573,3471.10568856641,2739393,Tcs
2022-02-01,3518.927734375,3525.733007988071,3459.4402486178483,3490.5497479293667,2105169,Tcs
2022-02-02,3570.35986328125,3577.581734973642,3518.9274512563034,3544.1575501895413,1984212,Tcs
2022-02-03,3541.102294921875,3594.7103772912837,3533.186016944075,3565.54530919478,1960538,Tcs
2022-02-04,3532.121337890625,3541.194960387751,3489.6237550901296,3532.4918236102826,2307366,Tcs
2022-02-07,3498.882568359375,3547.7688267486974,3477.7262284877784,3509.993071354959,1919149,Tcs
2022-02-08,3465.967529296875,3518.048010154357,3445.1816759233952,3510.502217567619,2946443,Tcs
2022-02-09,3481.800048828125,3497.9101869843644,3468.421197319028,3472.032020202538,1638721,Tcs
2022-02-10,3490.87353515625,3508.8817619912556,3479.438886397346,3508.8817619912556,2112459,Tcs
2022-02-11,3421.062744140625,3474.3469105220747,3416.4797068158446,3474.3469105220747,3851488,Tcs
2022-02-14,3456.986328125,3512.0758993398476,3434.9967933963844,3447.9590454469367,5951745,Tcs
2022-02-15,3534.806396484375,3550.7314047729114,3470.180262083148,3505.3635198097113,3931683,Tcs
